Contrast name:,Group (pat)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1038,103,1.000000,0.376238,0.080979,4.646117,3.000000,0.009399,0.027561
2,1399,139,1.000000,0.524474,0.145626,3.601512,3.000000,0.018361,0.036723
3,4863,486,1.000000,0.260061,0.056728,4.584338,3.000000,0.009746,0.027561
4,5104,510,1.000000,0.175248,0.151425,1.157329,3.000000,0.165458,0.175191
5,888,88,1.000000,0.140106,0.108470,1.291659,3.000000,0.143494,0.161431
6,1015,101,1.000000,0.096071,0.121443,0.791074,3.000000,0.243337,0.243337
7,3526,352,1.000000,0.561134,0.190757,2.941617,3.000000,0.030216,0.049992
8,3381,338,1.000000,0.396569,0.091403,4.338660,3.000000,0.011297,0.027561
9,1858,185,1.000000,0.217868,0.039842,5.468257,3.000000,0.006011,0.027561
10,1770,177,1.000000,0.256869,0.107110,2.398180,3.000000,0.048016,0.061735
11,2147,214,1.000000,0.285573,0.050181,5.690834,3.000000,0.005378,0.027561
12,2371,237,1.000000,0.279107,0.095324,2.927963,3.000000,0.030551,0.049992
13,2447,244,1.000000,0.406243,0.026079,15.577324,3.000000,0.000287,0.005174
14,1345,134,1.000000,0.308385,0.116317,2.651248,3.000000,0.038456,0.057684
15,2065,206,1.000000,0.611017,0.145182,4.208637,3.000000,0.012249,0.027561
16,2222,222,1.000000,0.342818,0.135536,2.529346,3.000000,0.042737,0.059174
17,1615,161,1.000000,0.134003,0.027929,4.797989,3.000000,0.008614,0.027561
18,1958,195,1.000000,0.100952,0.061371,1.644931,3.000000,0.099267,0.119120
