Condition,ItemNumber,Flip,33Include,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Question_A,Ans_A,Question_B,Ans_B,Question_C,Ans_C,Question_D,Ans_D,Question_E,Ans_E,Rand_A,Rand_B,Rand_C,Rand_D,Rand_E,IntendedOnset,IntendedDuration,OptCondition
Patient,41,1,1,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,NA,NA,NA,NA,NA,NA,NA,NA,Did someone shake Lily Triangle?,Y,1.868332892,1.010317372,1.278591511,1.088432997,3.493443449,0,4,Patient
Patient,40,0,1,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,Was Kyle Square shaken by someone?,Y,NA,NA,NA,NA,NA,NA,NA,NA,3.73496425,1.031113083,1.905957135,1.124390953,1.086077095,4,4,Patient
Fixation,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,8,2,NULL
Agent,8,0,1,Kyle,Square,square,Zach,Star,star,roll,rolled,rolled,roll,Kyle Square is rolling Zach Star.,Kyle Square rolled Zach Star.,The square is rolling the star.,The square rolled the star.,Zach Star is being rolled by Kyle Square.,Zach Star was rolled by Kyle Square.,The star is being rolled by the square.,The star was rolled by the square.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985167337,0.007299185,0.61782496,0.092707199,0.826571726,10,4,Agent
Patient,38,1,1,Zach,Star,star,Lily,Triangle,triangle,roll,rolled,rolled,roll,Zach Star is rolling Lily Triangle.,Zach Star rolled Lily Triangle.,The star is rolling the triangle.,The star rolled the triangle.,Lily Triangle is being rolled by Zach Star.,Lily Triangle was rolled by Zach Star.,The triangle is being rolled by the star.,The triangle was rolled by the star.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229824014,1.047862883,1.781695338,1.946318917,1.798559044,14,4,Patient
Patient,7,0,1,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.580235495,1.057298119,1.601000679,1.948535304,1.367583385,18,4,Patient
Patient,34,0,1,Zach,Star,star,Kyle,Square,square,bounc,bounced,bounced,bounce,Zach Star is bouncing Kyle Square.,Zach Star bounced Kyle Square.,The star is bouncing the square.,The star bounced the square.,Kyle Square is being bounced by Zach Star.,Kyle Square was bounced by Zach Star.,The square is being bounced by the star.,The square was bounced by the star.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.836128333,1.079679782,1.831028473,1.497825258,1.527653418,22,4,Patient
Agent,41,0,1,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,NA,NA,NA,NA,Did Zach Star shake someone?,Y,NA,NA,NA,NA,0.896000411,0.046576861,2.750628445,0.901630162,0.451182648,26,4,Agent
Fixation,NA,NA,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,30,2,NULL
Patient,5,1,1,Kyle,Square,square,Zach,Star,star,bounc,bounced,bounced,bounce,Kyle Square is bouncing Zach Star.,Kyle Square bounced Zach Star.,The square is bouncing the star.,The square bounced the star.,Zach Star is being bounced by Kyle Square.,Zach Star was bounced by Kyle Square.,The star is being bounced by the square.,The star was bounced by the square.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848192729,1.206799221,1.808474697,1.677822276,1.282358834,32,4,Patient
