Condition,ItemNumber,Flip,33Include,AgentName,AgentShape,AgentShapeLower,PatientName,PatientShape,PatientShapeLower,VerbStem,PastTense,PastParticiple,Verb,ProgressiveActive,PastActive,GenericProgressiveActive,GenericPastActive,ProgressivePassive,PastPassive,GenericProgressivePassive,GenericPastPassive,Question_A,Ans_A,Question_B,Ans_B,Question_C,Ans_C,Question_D,Ans_D,Question_E,Ans_E,RandA,RandB,RandC,RandD,RandE
Agent,10,1,1,Kyle,Square,square,Lily,Triangle,triangle,shak,shook,shaken,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.,Lily Triangle is being shaken by Kyle Square.,Lily Triangle was shaken by Kyle Square.,The triangle is being shaken by the square.,The triangle was shaken by the square.,NA,NA,NA,NA,NA,NA,NA,NA,Did Kyle Square shake someone?,Y,0.572534889,0.813413743,0.810114341,0.185617954,2.371461367
Patient,7,1,1,Kyle,Square,square,Lily,Triangle,triangle,roll,rolled,rolled,roll,Kyle Square is rolling Lily Triangle.,Kyle Square rolled Lily Triangle.,The square is rolling the triangle.,The square rolled the triangle.,Lily Triangle is being rolled by Kyle Square.,Lily Triangle was rolled by Kyle Square.,The triangle is being rolled by the square.,The triangle was rolled by the square.,NA,NA,NA,NA,NA,NA,NA,NA,Did Lily Triangle roll someone?,N,1.678730588,1.666822351,1.440842953,1.559234323,3.306581565
Patient,41,1,1,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,NA,NA,NA,NA,NA,NA,NA,NA,Did someone shake Lily Triangle?,Y,1.868332892,1.010317372,1.278591511,1.088432997,3.493443449
Patient,11,0,1,Kyle,Square,square,Zach,Star,star,shak,shook,shaken,shake,Kyle Square is shaking Zach Star.,Kyle Square shook Zach Star.,The square is shaking the star.,The square shook the star.,Zach Star is being shaken by Kyle Square.,Zach Star was shaken by Kyle Square.,The star is being shaken by the square.,The star was shaken by the square.,NA,NA,NA,NA,NA,NA,NA,NA,Did Zach Star shake someone?,N,1.793911962,1.38032011,1.881358471,1.853679047,3.435060249
Patient,35,1,1,Zach,Star,star,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Zach Star is bouncing Lily Triangle.,Zach Star bounced Lily Triangle.,The star is bouncing the triangle.,The star bounced the triangle.,Lily Triangle is being bounced by Zach Star.,Lily Triangle was bounced by Zach Star.,The triangle is being bounced by the star.,The triangle was bounced by the star.,Was someone bounced by Lily Triangle?,N,NA,NA,NA,NA,NA,NA,NA,NA,3.832376286,1.972599343,1.519214142,1.79650136,1.312912395
Patient,40,0,1,Zach,Star,star,Kyle,Square,square,shak,shook,shaken,shake,Zach Star is shaking Kyle Square.,Zach Star shook Kyle Square.,The star is shaking the square.,The star shook the square.,Kyle Square is being shaken by Zach Star.,Kyle Square was shaken by Zach Star.,The square is being shaken by the star.,The square was shaken by the star.,Was Kyle Square shaken by someone?,Y,NA,NA,NA,NA,NA,NA,NA,NA,3.73496425,1.031113083,1.905957135,1.124390953,1.086077095
Patient,22,1,1,Lily,Triangle,triangle,Kyle,Square,square,roll,rolled,rolled,roll,Lily Triangle is rolling Kyle Square.,Lily Triangle rolled Kyle Square.,The triangle is rolling the square.,The triangle rolled the square.,Kyle Square is being rolled by Lily Triangle.,Kyle Square was rolled by Lily Triangle.,The square is being rolled by the triangle.,The square was rolled by the triangle.,Did Kyle Square roll someone?,N,NA,NA,NA,NA,NA,NA,NA,NA,3.231300681,1.354937577,1.181425755,1.722097731,1.222165158
Patient,41,0,1,Zach,Star,star,Lily,Triangle,triangle,shak,shook,shaken,shake,Zach Star is shaking Lily Triangle.,Zach Star shook Lily Triangle.,The star is shaking the triangle.,The star shook the triangle.,Lily Triangle is being shaken by Zach Star.,Lily Triangle was shaken by Zach Star.,The triangle is being shaken by the star.,The triangle was shaken by the star.,Did someone shake Lily Triangle?,Y,Was someone shaken by Lily Triangle?,N,NA,NA,NA,NA,NA,NA,3.187522731,3.974861634,1.115954268,1.454547411,1.876760467
Agent,4,0,1,Kyle,Square,square,Lily,Triangle,triangle,bounc,bounced,bounced,bounce,Kyle Square is bouncing Lily Triangle.,Kyle Square bounced Lily Triangle.,The square is bouncing the triangle.,The square bounced the triangle.,Lily Triangle is being bounced by Kyle Square.,Lily Triangle was bounced by Kyle Square.,The triangle is being bounced by the square.,The triangle was bounced by the square.,Was someone bounced by Kyle Square?,Y,NA,NA,NA,NA,NA,NA,NA,NA,2.16014578,0.571862135,0.767528714,0.037475517,0.900205057
Agent,10,0,1,Kyle,Square,square,Lily,Triangle,triangle,shak,shook,shaken,shake,Kyle Square is shaking Lily Triangle.,Kyle Square shook Lily Triangle.,The square is shaking the triangle.,The square shook the triangle.,Lily Triangle is being shaken by Kyle Square.,Lily Triangle was shaken by Kyle Square.,The triangle is being shaken by the square.,The triangle was shaken by the square.,Did someone shake Kyle Square?,N,NA,NA,NA,NA,NA,NA,NA,NA,2.142411868,0.155608933,0.442615282,0.041388073,0.60085469
