Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,debug,,E,10,0,,0.2,,Agent,1,flipped,,,,,,Base_flipped_10.jpg,Agent_flipped_10.jpg,,
,debug,,E,NA,0.2,,0.04,,Fixation,NA,,,,,,,,,,
2,debug,,E,34,0.24,,0.08,,Patient,1,flipped,,,,,,Base_flipped_34.jpg,Patient_flipped_34.jpg,,
,debug,,E,NA,0.32,,0.04,,Fixation,NA,,,,,,,,,,
3,debug,,E,22,0.36,,0.08,,Agent,0,orig,,,,,,Base_orig_22.jpg,Agent_orig_22.jpg,,
4,debug,,E,37,0.44,,0.08,,Patient,0,orig,,,,,,Base_orig_37.jpg,Patient_orig_37.jpg,,
5,debug,,E,25,0.52,,0.08,,Patient,0,orig,,,,,,Base_orig_25.jpg,Patient_orig_25.jpg,,
6,debug,,E,7,0.6,,0.08,,Agent,0,orig,,,,,,Base_orig_7.jpg,Agent_orig_7.jpg,,
7,debug,,E,23,0.68,,0.08,,Agent,1,flipped,,,,,,Base_flipped_23.jpg,Agent_flipped_23.jpg,,
8,debug,,E,11,0.76,,0.08,,Agent,1,flipped,,,,,,Base_flipped_11.jpg,Agent_flipped_11.jpg,,
,debug,,E,NA,0.84,,0.04,,Fixation,NA,,,,,,,,,,
9,debug,,E,22,0.88,,0.08,,Agent,1,flipped,,,,,,Base_flipped_22.jpg,Agent_flipped_22.jpg,,
,debug,,E,NA,0.96,,0.08,,Fixation,NA,,,,,,,,,,
10,debug,,E,34,1.04,,0.08,,Agent,1,flipped,,,,,,Base_flipped_34.jpg,Agent_flipped_34.jpg,,
11,debug,,E,40,1.12,,0.08,,Patient,0,orig,,,,,,Base_orig_40.jpg,Patient_orig_40.jpg,,
,debug,,E,NA,1.2,,0.08,,Fixation,NA,,,,,,,,,,
12,debug,,E,11,1.28,,0.08,,Patient,1,flipped,,,,,,Base_flipped_11.jpg,Patient_flipped_11.jpg,,
13,debug,,E,35,1.36,,0.08,,Agent,0,orig,,,,,,Base_orig_35.jpg,Agent_orig_35.jpg,,
14,debug,,E,7,1.44,,0.08,,Agent,1,flipped,,,,,,Base_flipped_7.jpg,Agent_flipped_7.jpg,,
,debug,,E,NA,1.52,,0.04,,Fixation,NA,,,,,,,,,,
15,debug,,E,11,1.56,,0.08,,Agent,0,orig,,,,,,Base_orig_11.jpg,Agent_orig_11.jpg,,
16,debug,,E,25,1.64,,0.08,,Agent,1,flipped,,,,,,Base_flipped_25.jpg,Agent_flipped_25.jpg,,
17,debug,,E,40,1.72,,0.08,,Agent,1,flipped,,,,,,Base_flipped_40.jpg,Agent_flipped_40.jpg,,
,debug,,E,NA,1.8,,0.04,,Fixation,NA,,,,,,,,,,
18,debug,,E,41,1.84,,0.08,,Agent,0,orig,,,,,,Base_orig_41.jpg,Agent_orig_41.jpg,,
19,debug,,E,10,1.92,,0.08,,Patient,1,flipped,,,,,,Base_flipped_10.jpg,Patient_flipped_10.jpg,,
20,debug,,E,26,2,,0.08,,Agent,1,flipped,,,,,,Base_flipped_26.jpg,Agent_flipped_26.jpg,,
,debug,,E,NA,2.08,,0.12,,Fixation,NA,,,,,,,,,,
21,debug,,E,37,2.2,,0.2,,Agent,0,orig,,,,,,Base_orig_37.jpg,Agent_orig_37.jpg,,
,debug,,E,NA,2.4,,0.08,,Fixation,NA,,,,,,,,,,
22,debug,,E,8,2.48,,0.08,,Patient,1,flipped,,,,,,Base_flipped_8.jpg,Patient_flipped_8.jpg,,
,debug,,E,NA,2.56,,0.12,,Fixation,NA,,,,,,,,,,
23,debug,,E,5,2.68,,0.08,,Agent,0,orig,,,,,,Base_orig_5.jpg,Agent_orig_5.jpg,,
24,debug,,E,10,2.76,,0.08,,Agent,0,orig,,,,,,Base_orig_10.jpg,Agent_orig_10.jpg,,
,debug,,E,NA,2.84,,0.12,,Fixation,NA,,,,,,,,,,
25,debug,,E,19,2.96,,0.2,,Agent,0,orig,,,,,,Base_orig_19.jpg,Agent_orig_19.jpg,,
26,debug,,E,25,3.16,,0.08,,Agent,0,orig,,,,,,Base_orig_25.jpg,Agent_orig_25.jpg,,
27,debug,,E,7,3.24,,0.2,,Patient,1,flipped,,,,,,Base_flipped_7.jpg,Patient_flipped_7.jpg,,
,debug,,E,NA,3.44,,0.04,,Fixation,NA,,,,,,,,,,
28,debug,,E,22,3.48,,0.08,,Patient,1,flipped,,,,,,Base_flipped_22.jpg,Patient_flipped_22.jpg,,
,debug,,E,NA,3.56,,0.04,,Fixation,NA,,,,,,,,,,
29,debug,,E,25,3.6,,0.08,,Patient,1,flipped,,,,,,Base_flipped_25.jpg,Patient_flipped_25.jpg,,
