Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,fakefakefkae,,A,25,0,0.000770463011576794,4,4.00039656199806,Patient,1,flipped,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_25.jpg,Patient_flipped_25.jpg,,
2,fakefakefkae,,A,25,4,4.00172910401307,4,3.99950918198738,Agent,1,flipped,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_25.jpg,Agent_flipped_25.jpg,,
,fakefakefkae,,A,NA,8,8.00176501800888,6,6.00081881700316,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,fakefakefkae,,A,40,14,14.0031531970017,4,3.9977112510096,Agent,1,flipped,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_flipped_40.jpg,Agent_flipped_40.jpg,,
4,fakefakefkae,,A,40,18,18.0013854330027,4,3.9994974930014,Agent,0,orig,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_orig_40.jpg,Agent_orig_40.jpg,,
,fakefakefkae,,A,NA,22,22.0014290040126,4,4.00114260699775,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,fakefakefkae,,A,7,26,26.003149614,4,3.99829244700959,Agent,0,orig,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_7.jpg,Agent_orig_7.jpg,,
,fakefakefkae,,A,NA,30,30.0020776660094,2,2.00000498999725,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,fakefakefkae,,A,8,32,32.0026258280122,4,3.99841766999452,Patient,0,orig,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_orig_8.jpg,Patient_orig_8.jpg,,
7,fakefakefkae,,A,35,36,36.0015697570052,4,3.99984140000015,Agent,1,flipped,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_flipped_35.jpg,Agent_flipped_35.jpg,,
,fakefakefkae,,A,NA,40,40.0019220520044,2,2.00076362599793,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,fakefakefkae,,A,8,42,42.0033965260081,4,3.99765185499564,Agent,1,flipped,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_flipped_8.jpg,Agent_flipped_8.jpg,,
9,fakefakefkae,,A,19,46,46.0015774090134,4,3.99982508999528,Agent,1,flipped,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_19.jpg,Agent_flipped_19.jpg,,
,fakefakefkae,,A,NA,50,50.0019489610131,6,5.99983851199795,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
10,fakefakefkae,,A,41,56,,10,,Patient,0,orig,,,,,,Base_orig_41.jpg,Patient_orig_41.jpg,,
11,fakefakefkae,,A,4,66,,4,,Patient,1,flipped,,,,,,Base_flipped_4.jpg,Patient_flipped_4.jpg,,
,fakefakefkae,,A,NA,70,,4,,Fixation,NA,,,,,,,,,,
12,fakefakefkae,,A,19,74,,4,,Agent,0,orig,,,,,,Base_orig_19.jpg,Agent_orig_19.jpg,,
,fakefakefkae,,A,NA,78,,4,,Fixation,NA,,,,,,,,,,
13,fakefakefkae,,A,8,82,,4,,Patient,1,flipped,,,,,,Base_flipped_8.jpg,Patient_flipped_8.jpg,,
14,fakefakefkae,,A,34,86,,4,,Patient,1,flipped,,,,,,Base_flipped_34.jpg,Patient_flipped_34.jpg,,
15,fakefakefkae,,A,23,90,,4,,Patient,0,orig,,,,,,Base_orig_23.jpg,Patient_orig_23.jpg,,
16,fakefakefkae,,A,4,94,,4,,Agent,1,flipped,,,,,,Base_flipped_4.jpg,Agent_flipped_4.jpg,,
17,fakefakefkae,,A,23,98,,4,,Agent,1,flipped,,,,,,Base_flipped_23.jpg,Agent_flipped_23.jpg,,
,fakefakefkae,,A,NA,102,,4,,Fixation,NA,,,,,,,,,,
18,fakefakefkae,,A,38,106,,4,,Patient,1,flipped,,,,,,Base_flipped_38.jpg,Patient_flipped_38.jpg,,
,fakefakefkae,,A,NA,110,,2,,Fixation,NA,,,,,,,,,,
19,fakefakefkae,,A,38,112,,4,,Patient,0,orig,,,,,,Base_orig_38.jpg,Patient_orig_38.jpg,,
20,fakefakefkae,,A,26,116,,4,,Agent,0,orig,,,,,,Base_orig_26.jpg,Agent_orig_26.jpg,,
,fakefakefkae,,A,NA,120,,4,,Fixation,NA,,,,,,,,,,
21,fakefakefkae,,A,22,124,,4,,Patient,0,orig,,,,,,Base_orig_22.jpg,Patient_orig_22.jpg,,
,fakefakefkae,,A,NA,128,,2,,Fixation,NA,,,,,,,,,,
22,fakefakefkae,,A,11,130,,4,,Patient,1,flipped,,,,,,Base_flipped_11.jpg,Patient_flipped_11.jpg,,
,fakefakefkae,,A,NA,134,,2,,Fixation,NA,,,,,,,,,,
23,fakefakefkae,,A,38,136,,4,,Agent,1,flipped,,,,,,Base_flipped_38.jpg,Agent_flipped_38.jpg,,
,fakefakefkae,,A,NA,140,,2,,Fixation,NA,,,,,,,,,,
24,fakefakefkae,,A,26,142,,4,,Patient,0,orig,,,,,,Base_orig_26.jpg,Patient_orig_26.jpg,,
,fakefakefkae,,A,NA,146,,6,,Fixation,NA,,,,,,,,,,
25,fakefakefkae,,A,20,152,,10,,Agent,1,flipped,,,,,,Base_flipped_20.jpg,Agent_flipped_20.jpg,,
,fakefakefkae,,A,NA,162,,2,,Fixation,NA,,,,,,,,,,
26,fakefakefkae,,A,20,164,,4,,Agent,0,orig,,,,,,Base_orig_20.jpg,Agent_orig_20.jpg,,
27,fakefakefkae,,A,5,168,,4,,Agent,1,flipped,,,,,,Base_flipped_5.jpg,Agent_flipped_5.jpg,,
28,fakefakefkae,,A,20,172,,4,,Patient,1,flipped,,,,,,Base_flipped_20.jpg,Patient_flipped_20.jpg,,
29,fakefakefkae,,A,38,176,,4,,Agent,0,orig,,,,,,Base_orig_38.jpg,Agent_orig_38.jpg,,
30,fakefakefkae,,A,35,180,,4,,Patient,0,orig,,,,,,Base_orig_35.jpg,Patient_orig_35.jpg,,
,fakefakefkae,,A,NA,184,,6,,Fixation,NA,,,,,,,,,,
31,fakefakefkae,,A,40,190,,4,,Patient,1,flipped,,,,,,Base_flipped_40.jpg,Patient_flipped_40.jpg,,
,fakefakefkae,,A,NA,194,,6,,Fixation,NA,,,,,,,,,,
32,fakefakefkae,,A,23,200,,4,,Patient,1,flipped,,,,,,Base_flipped_23.jpg,Patient_flipped_23.jpg,,
,fakefakefkae,,A,NA,204,,2,,Fixation,NA,,,,,,,,,,
33,fakefakefkae,,A,22,206,,10,,Patient,1,flipped,,,,,,Base_flipped_22.jpg,Patient_flipped_22.jpg,,
,fakefakefkae,,A,NA,216,,2,,Fixation,NA,,,,,,,,,,
34,fakefakefkae,,A,7,218,,4,,Patient,0,orig,,,,,,Base_orig_7.jpg,Patient_orig_7.jpg,,
,fakefakefkae,,A,NA,222,,2,,Fixation,NA,,,,,,,,,,
35,fakefakefkae,,A,19,224,,4,,Patient,1,flipped,,,,,,Base_flipped_19.jpg,Patient_flipped_19.jpg,,
